name,status
Roivant Sciences,ipo
Nextdoor,ipo
Zymergen,ipo
Cloudflare,ipo
Amplitude,ipo
Gaming and Leisure Properties,ipo
Shift,ipo
ThredUp,ipo
Nutex Health,ipo
Lemonade,ipo
Coinbase,ipo
CrowdStrike,ipo
Cue,ipo
Confluent,ipo
Freshworks,ipo
Remitly,ipo
Ascend Wellness,ipo
Moderna Therapeutics,ipo
